,item_name,spk,txt,ph,wav_fn,others
103,104,SPK1,黑袍鸟小黑是林八哥.,<BOS> h ei1 | p ao2 # n iao3 # x iao3 | h ei1 # sh i4 # l in2 # b a1 | g e1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000103_000104.wav,{}
104,105,SPK1,他越摁。我越慌。发动越慢.,<BOS> t a1 # y ue4 # en4 | w o3 # y ue4 # h uang1 | f a1 | d ong4 # y ue4 | m an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000104_000105.wav,{}
105,106,SPK1,卯兔开新岁。两岸共迎春.,<BOS> m ao3 | t u4 # k ai1 # x in1 | s ui4 | l iang3 | an4 # g ong4 # y ing2 | ch un1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000105_000106.wav,{}
106,107,SPK1,五月天玛莎替菊娃娃换装比基尼.,<BOS> w u3 | y ue4 | t ian1 # m a3 | sh a1 # t i4 | j u2 # w a2 | w a2 # h uan4 | zh uang1 # b i3 | j i1 | n i2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000106_000107.wav,{}
107,108,SPK1,坡土岩性为坡坡。残积土属土质边坡.,<BOS> p o1 | t u3 # y an2 | x ing4 # w ei2 # p o1 | p o1 | c an2 | j i1 | t u3 # sh u3 # t u3 | zh i4 # b ian1 | p o1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000107_000108.wav,{}
108,109,SPK1,墨西哥一五二一年沦为西班牙殖民地.,<BOS> m o4 | x i1 | g e1 # y i1 # w u3 | er4 # y i1 | n ian2 # l un2 | w ei4 # x i1 | b an1 | y a2 # zh i2 | m in2 | d i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000108_000109.wav,{}
109,110,SPK1,娃哈哈企业研究院副院长李言郡算是苦主之一.,<BOS> w a2 | h a1 | h a1 # q i3 | y e4 # y an2 | j iu1 | y uan4 # f u4 # y uan4 | zh ang3 # l i3 | y an2 # j un4 # s uan4 | sh i4 # k u3 | zh u3 # zh i1 | y i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000109_000110.wav,{}
110,111,SPK1,周韵则获老外搂腰。兴奋大笑.,<BOS> zh ou1 | y un4 # z e2 # h uo4 # l ao3 | w ai4 # l ou3 # y ao1 | x ing1 | f en4 # d a4 | x iao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000110_000111.wav,{}
111,112,SPK1,我要用谷歌发送一封邮件.,<BOS> w o3 | y ao4 # y ong4 # g u3 | g e1 # f a1 | s ong4 # y i4 | f eng1 # y ou2 | j ian4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000111_000112.wav,{}
112,113,SPK1,迪沃尔夫则吞了一口水.,<BOS> d i2 # w o4 | er3 | f u1 # z e2 # t un1 # l e # y i4 | k ou3 # sh ui3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000112_000113.wav,{}
113,114,SPK1,先师的研究领域浩瀚无涯矣.,<BOS> x ian1 | sh i1 # d e # y an2 | j iu1 # l ing3 | y u4 # h ao4 | h an4 | w u2 | y a2 # y i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000113_000114.wav,{}
114,115,SPK1,因干爹而红的模特周蕊.,<BOS> y in1 # g an1 | d ie1 # er2 # h ong2 # d e # m o2 | t e4 # zh ou1 | r ui3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000114_000115.wav,{}
115,116,SPK1,玩咖用来骗美眉.,<BOS> w an2 # k a1 # y ong4 | l ai2 # p ian4 # m ei3 | m ei2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000115_000116.wav,{}
116,117,SPK1,五戒松散狭隘。要团结合作.,<BOS> w u3 | j ie4 # s ong1 | s an3 # x ia2 | ai4 | y ao4 # t uan2 | j ie2 | h e2 | z uo4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000116_000117.wav,{}
117,118,SPK1,希望看一眼格尔木的树叶.,<BOS> x i1 | w ang4 # k an4 # y i4 | y an3 # g e2 | er3 | m u4 # d e # sh u4 | y e4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000117_000118.wav,{}
118,119,SPK1,秉哲也回吻大蟒蛇.,<BOS> b ing3 | zh e2 # y e3 # h ui2 # w en3 # d a4 # m ang3 | sh e2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000118_000119.wav,{}
119,120,SPK1,城门顶端有桃色的陶瓦。屋顶以龙凤等瑞兽装饰.,<BOS> ch eng2 | m en2 # d ing3 | d uan1 # y ou3 # t ao2 | s e4 # d e # t ao2 | w a3 | w u1 | d ing3 # y i3 # l ong2 | f eng4 # d eng3 # r ui4 | sh ou4 # zh uang1 | sh i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000119_000120.wav,{}
120,121,SPK1,学生踏上栏杆戏弄鳄鱼.,<BOS> x ue2 | sh eng1 # t a4 | sh ang4 # l an2 | g an1 # x i4 | n ong4 # e4 | y u2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000120_000121.wav,{}
121,122,SPK1,你看梁朝伟演色戒。刘嘉玲也得咬牙忍住呀.,<BOS> n i3 # k an4 # l iang2 | ch ao2 | w ei3 # y an3 | s e4 # j ie4 | l iu2 | j ia1 | l ing2 # y e3 # d ei3 # y ao3 | y a2 # r en3 | zh u4 # y a <EOS>,data/processed/biaobei/mfa_inputs/0/0000121_000122.wav,{}
122,123,SPK1,这要问问火星上的鱼啦.,<BOS> zh e4 | y ao4 # w en4 | w en4 # h uo3 | x ing1 # sh ang4 # d e # y u2 # l a <EOS>,data/processed/biaobei/mfa_inputs/0/0000122_000123.wav,{}
123,124,SPK1,钟镇涛与女儿牵手逛街.,<BOS> zh ong1 | zh en4 | t ao1 # y u3 # n v3 | er2 # q ian1 | sh ou3 # g uang4 | j ie1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000123_000124.wav,{}
124,125,SPK1,一层可以种花花草草.,<BOS> y i4 | c eng2 # k e3 | y i3 # zh ong4 # h ua1 | h ua1 | c ao3 | c ao3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000124_000125.wav,{}
125,126,SPK1,每家作坊损失有一二十万元.,<BOS> m ei3 | j ia1 # z uo1 | f ang1 # s un3 | sh i1 # y ou3 # y i1 # er4 | sh i2 | w an4 | y uan2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000125_000126.wav,{}
126,127,SPK1,他面容憔悴。右腿有些瘸拐.,<BOS> t a1 # m ian4 | r ong2 # q iao2 | c ui4 | y ou4 | t ui3 # y ou3 | x ie1 # q ue2 # g uai3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000126_000127.wav,{}
127,128,SPK1,舅舅指张韶涵殴亲.,<BOS> j iu4 | j iu4 # zh i3 # zh ang1 | sh ao2 | h an2 # ou1 | q in1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000127_000128.wav,{}
128,129,SPK1,法院准许合同解除.,<BOS> f a3 | y uan4 # zh un3 | x u3 # h e2 | t ong2 # j ie3 | ch u2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000128_000129.wav,{}
129,130,SPK1,另外。窝案串案多也尤为突出.,<BOS> l ing4 | w ai4 | w o1 | an4 # ch uan4 | an4 # d uo1 # y e3 # y ou2 | w ei2 # t u1 | ch u1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000129_000130.wav,{}
130,131,SPK1,搞些林业机械主业以外的偏业呢?,<BOS> g ao3 | x ie1 # l in2 | y e4 | j i1 | x ie4 # zh u3 | y e4 # y i3 | w ai4 # d e # p ian1 | y e4 # n e <EOS>,data/processed/biaobei/mfa_inputs/0/0000130_000131.wav,{}
131,132,SPK1,棉花收购也遭游资恶性炒作.,<BOS> m ian2 | h ua1 # sh ou1 | g ou4 # y e3 # z ao1 # y ou2 | z i1 # e4 | x ing4 # ch ao3 | z uo4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000131_000132.wav,{}
132,133,SPK1,古永锵已军壁垓下.,<BOS> g u3 | y ong3 | q iang1 # y i3 # j un1 | b i4 # g ai1 | x ia4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000132_000133.wav,{}
133,134,SPK1,他又哭又闹。还拿刀戳来戳去.,<BOS> t a1 # y ou4 | k u1 | y ou4 | n ao4 | h ai2 # n a2 # d ao1 # ch uo1 # l ai2 # ch uo1 # q u4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000133_000134.wav,{}
134,135,SPK1,在放下清扫机后。万庆良改用扫帚作业.,<BOS> z ai4 # f ang4 | x ia4 # q ing1 | s ao3 | j i1 # h ou4 | w an4 | q ing4 # l iang2 # g ai3 | y ong4 # s ao4 | zh ou3 # z uo4 | y e4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000134_000135.wav,{}
135,136,SPK1,她昂首挺胸。迎风而立。炯炯有神的双目眺望前方.,<BOS> t a1 # ang2 | sh ou3 | t ing3 | x iong1 | y ing2 | f eng1 # er2 | l i4 | j iong3 | j iong3 | y ou3 | sh en2 # d e # sh uang1 | m u4 # t iao4 | w ang4 # q ian2 | f ang1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000135_000136.wav,{}
136,137,SPK1,而张茆日前也宣布与外籍男友订婚.,<BOS> er2 # zh ang1 # m ao2 # r i4 | q ian2 # y e3 # x uan1 | b u4 # y u3 # w ai4 | j i2 # n an2 | y ou3 # d ing4 | h un1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000136_000137.wav,{}
137,138,SPK1,扪萝登塔远。刳木取泉遥.,<BOS> m en2 | l uo2 | d eng1 | t a3 | y uan3 | k u1 # m u4 # q u3 | q uan2 | y ao2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000137_000138.wav,{}
138,139,SPK1,你无语我很闲滴勒.,<BOS> n i3 # w u2 | y u3 # w o3 # h en3 # x ian2 | d i | l ei1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000138_000139.wav,{}
139,140,SPK1,问题牛肉据信源自一家罗马尼亚屠宰场.,<BOS> w en4 | t i2 # n iu2 | r ou4 # j u4 | x in4 # y uan2 | z i4 # y i4 | j ia1 # l uo2 | m a3 | n i2 | y a4 # t u2 | z ai3 | ch ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000139_000140.wav,{}
140,141,SPK1,阿尔瓦雷斯依言行事.,<BOS> a1 | er3 | w a3 | l ei2 # s i1 # y i1 | y an2 # x ing2 | sh i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000140_000141.wav,{}
141,142,SPK1,只愿苍天相照应。留得情谊比锦翠.,<BOS> zh i3 | y uan4 # c ang1 | t ian1 # x iang1 # zh ao4 | y ing4 | l iu2 # d e2 # q ing2 | y i4 # b i3 | j in3 | c ui4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000141_000142.wav,{}
142,143,SPK1,菀之挑选男友最怕无趣.,<BOS> w an3 | z hi1 # t iao1 | x uan3 # n an2 | y ou3 # z ui4 # p a4 # w u2 | q u4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000143_000144.wav,{}
143,144,SPK1,坦塔维和安南被任命为总统顾问.,<BOS> t an3 | t a3 # w ei2 | h e2 # an1 | n an2 # b ei4 # r en4 | m ing4 # w ei2 # z ong3 | t ong3 # g u4 | w en4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000143_000144.wav,{}
144,145,SPK1,小真一边用纸巾按压止血。一边又开始低声啜泣.,<BOS> x iao3 | zh en1 # y i4 | b ian1 # y ong4 # zh i3 | j in1 # an4 | y a1 # zh i3 | x ie3 | y i4 | b ian1 # y ou4 # k ai1 | sh i3 # d i1 | sh eng1 # ch uo4 | q i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000144_000145.wav,{}
145,146,SPK1,邱韶智因此被外界讽刺是鳄鱼头。老衬底.,<BOS> q iu1 | sh ao2 | zh i4 # y in1 | c i3 # b ei4 # w ai4 | j ie4 # f eng3 | c i4 # sh i4 # e4 | y u2 # t ou2 | l ao3 # ch en4 | d i3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000145_000146.wav,{}
146,147,SPK1,花朵体引发网友热议效仿.,<BOS> h ua1 | d uo3 # t i3 # y in3 | f a1 # w ang3 | y ou3 # r e4 | y i4 # x iao4 | f ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000146_000147.wav,{}
147,148,SPK1,肖克在空调厂卸完货。由原路返回寸滩港.,<BOS> x iao1 | k e4 # z ai4 # k ong1 | t iao2 # ch ang3 # x ie4 | w an2 # h uo4 | y ou2 # y uan2 | l u4 # f an3 | h ui2 # c un4 | t an1 # g ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000147_000148.wav,{}
148,149,SPK1,由此牵出丑闻。有人蓄意栽赃萨科齐.,<BOS> y ou2 | c i3 # q ian1 | ch u1 # ch ou3 | w en2 | y ou3 | r en2 # x u4 | y i4 # z ai1 | z ang1 # s a4 | k e1 | q i2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000148_000149.wav,{}
149,150,SPK1,瓦努阿图位于环太平洋地震多发带.,<BOS> w a3 | n u3 | a1 | t u2 # w ei4 | y u2 # h uan2 # t ai4 | p ing2 | y ang2 # d i4 | zh en4 # d uo1 | f a1 # d ai4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000149_000150.wav,{}
150,151,SPK1,干罢农活上上网。咱也玩玩假农场.,<BOS> g an4 # b a4 # n ong2 | h uo2 # sh ang4 | sh ang4 | w ang3 | z an2 # y e3 # w an2 | w an2 # j ia3 # n ong2 | ch ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000150_000151.wav,{}
151,152,SPK1,这就是英业达硬包软。软卖硬的理念.,<BOS> zh e4 # j iu4 | sh i4 # y ing1 | y e4 | d a2 # y ing4 # b ao1 | r uan3 | r uan3 | m ai4 # y ing4 # d e # l i3 | n ian4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000151_000152.wav,{}
152,153,SPK1,烧花鸭。烧雏鸡儿.,<BOS> sh ao1 | h ua1 # y a1 | sh ao1 # ch u2 | j i1 # er <EOS>,data/processed/biaobei/mfa_inputs/0/0000152_000153.wav,{}
153,154,SPK1,中枪小考拉生命垂危.,<BOS> zh ong4 | q iang1 # x iao3 # k ao3 | l a1 # sh eng1 | m ing4 | ch ui2 | w ei1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000153_000154.wav,{}
154,155,SPK1,手捧死蚕。蚕农非常沮丧.,<BOS> sh ou3 | p eng3 | s i3 # c an2 | c an2 | n ong2 # f ei1 | ch ang2 # j u3 | s ang4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000154_000155.wav,{}
155,156,SPK1,不过仍挡不住一些烟民吞云吐雾.,<BOS> b u2 | g uo4 # r eng2 # d ang3 | b u | zh u4 # y i4 | x ie1 # y an1 | m in2 # t un1 | y un2 | t u3 | w u4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000155_000156.wav,{}
156,157,SPK1,亲朋好友捧着花篮前来吊唁.,<BOS> q in1 | p eng2 | h ao3 | y ou3 # p eng3 # zh e # h ua1 | l an2 # q ian2 | l ai2 # d iao4 | y an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000156_000157.wav,{}
157,158,SPK1,九阳豆浆机我到是会用.,<BOS> j iu3 | y ang2 # d ou4 | j iang1 | j i1 # w o3 # d ao4 # sh i4 # h ui4 # y ong4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000157_000158.wav,{}
158,159,SPK1,全国一共有一百一十二所二一一高校.,<BOS> q uan2 | g uo2 # y i2 | g ong4 # y ou3 # y i4 | b ai3 | y i1 | sh i2 | er4 # s uo3 # er4 | y i1 | y i1 # g ao1 | x iao4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000158_000159.wav,{}
159,160,SPK1,富豪落马源于规范监督缺位溺爱纵容下的野蛮生长.,<BOS> f u4 | h ao2 # l uo4 | m a3 # y uan2 | y u2 # g ui1 | f an4 # j ian1 | d u1 # q ue1 | w ei4 # n i4 | ai4 # z ong4 | r ong2 # x ia4 # d e # y e3 | m an2 # sh eng1 | zh ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000159_000160.wav,{}
160,161,SPK1,王金艳左侧颅骨严重凹陷.,<BOS> w ang2 | j in1 | y an4 # z uo3 | c e4 # l u2 | g u3 # y an2 | zh ong4 # ao1 | x ian4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000160_000161.wav,{}
161,162,SPK1,用的枪支有阿嘎枪和手枪等.,<BOS> y ong4 # d e # q iang1 | zh i1 # y ou3 # a1 | g a1 | q iang1 # h e2 # sh ou3 | q iang1 # d eng3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000161_000162.wav,{}
162,163,SPK1,最后抹掉口角唾沫。作鸟兽散.,<BOS> z ui4 | h ou4 # m o3 | d iao4 # k ou3 | j iao3 # t uo4 | m o4 | z uo4 | n iao3 | sh ou4 | s an4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000162_000163.wav,{}
163,164,SPK1,另一名遇难者秦萍凤是崇明滧南村人.,<BOS> l ing4 | y i4 | m ing2 # y u4 | n an4 | zh e3 # q in2 | p ing2 # f eng4 | sh i4 # ch ong2 | m ing2 # y ao2 # n an2 | c un1 # r en2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000163_000164.wav,{}
164,165,SPK1,英雄熊尿保痛失亲人老泪纵横.,<BOS> y ing1 | x iong2 # x iong2 | n iao4 | b ao3 # t ong4 | sh i1 # q in1 | r en2 # l ao3 | l ei4 | z ong4 | h eng2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000164_000165.wav,{}
165,166,SPK1,俄罗斯公车滥用屡遭抨击.,<BOS> e2 | l uo2 | s i1 # g ong1 | ch e1 # l an4 | y ong4 # l v3 | z ao1 # p eng1 | j i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000165_000166.wav,{}
166,167,SPK1,办好中国普法网英文网.,<BOS> b an4 | h ao3 # zh ong1 | g uo2 # p u3 | f a3 | w ang3 # y ing1 | w en2 | w ang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000166_000167.wav,{}
167,168,SPK1,我妈笑我傻。我妈笑我憨.,<BOS> w o3 | m a1 # x iao4 # w o3 # sh a3 | w o3 | m a1 # x iao4 # w o3 # h an1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000167_000168.wav,{}
168,169,SPK1,吃个甜筒降降温吧.,<BOS> ch i1 | g e4 # t ian2 | t ong3 # j iang4 | j iang4 | w en1 # b a <EOS>,data/processed/biaobei/mfa_inputs/0/0000168_000169.wav,{}
169,170,SPK1,燕娅娅油画作品奶奶.,<BOS> y an4 | y a4 | y a4 # y ou2 | h ua4 # z uo4 | p in3 # n ai3 | n ai <EOS>,data/processed/biaobei/mfa_inputs/0/0000169_000170.wav,{}
170,171,SPK1,在引桥上跑很危险.,<BOS> z ai4 # y in3 | q iao2 # sh ang4 # p ao3 # h en3 # w ei1 | x ian3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000170_000171.wav,{}
171,172,SPK1,胡杏儿盛装打扮。与刘青云现身威尼斯影展.,<BOS> h u2 | x ing4 | er2 # sh eng4 | zh uang1 # d a3 | b an4 | y u3 # l iu2 | q ing1 | y un2 # x ian4 | sh en1 # w ei1 | n i2 | s i1 # y ing3 | zh an3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000171_000172.wav,{}
172,173,SPK1,杨凯苦笑着。继续往家挪.,<BOS> y ang2 | k ai3 # k u3 | x iao4 # zh e | j i4 | x u4 # w ang3 | j ia1 # n uo2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000172_000173.wav,{}
173,174,SPK1,约两万零两百人受影响.,<BOS> y ue1 # l iang3 | w an4 # l ing2 # l iang3 | b ai3 | r en2 # sh ou4 # y ing3 | x iang3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000173_000174.wav,{}
174,175,SPK1,你沾我的光也够戗.,<BOS> n i3 # zh an1 # w o3 # d e # g uang1 # y e3 # g ou4 | q iang4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000174_000175.wav,{}
175,176,SPK1,阿默舍姆位于首都伦敦以西.,<BOS> a1 | m o4 # sh e3 | m u3 # w ei4 | y u2 # sh ou3 | d u1 # l un2 | d un1 # y i3 | x i1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000175_000176.wav,{}
176,177,SPK1,艮其止。止其所也.,<BOS> g en4 # q i2 | zh i3 | zh i3 # q i2 # s uo3 # y e3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000176_000177.wav,{}
177,178,SPK1,而涉案被捕女疑犯姓黄.,<BOS> er2 # sh e4 | an4 # b ei4 | b u3 # n v3 # y i2 | f an4 # x ing4 | h uang2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000177_000178.wav,{}
178,179,SPK1,暖暖也越来越逆反了.,<BOS> n uan3 # n uan3 # y e3 # y ue4 | l ai2 | y ue4 # n i4 | f an3 # l e <EOS>,data/processed/biaobei/mfa_inputs/0/0000178_000179.wav,{}
179,180,SPK1,据介绍。非标柴油一般是用白油料掺兑走私红油.,<BOS> j u4 | j ie4 | sh ao4 | f ei1 | b iao1 # ch ai2 | y ou2 # y i4 | b an1 # sh i4 # y ong4 # b ai2 # y ou2 | l iao4 # ch an1 | d ui4 # z ou3 | s i1 # h ong2 | y ou2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000179_000180.wav,{}
180,181,SPK1,警犬训练大队携犬巡检.,<BOS> j ing3 | q uan3 # x un4 | l ian4 # d a4 | d ui4 # x ie2 | q uan3 # x un2 | j ian3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000180_000181.wav,{}
181,182,SPK1,广东省政协常委陈缵光走进蚁族居所.,<BOS> g uang3 | d ong1 | sh eng3 | zh eng4 | x ie2 # ch ang2 | w ei3 # ch en2 | z uan3 | g uang1 # z ou3 | j in4 # y i3 | z u2 # j u1 | s uo3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000181_000182.wav,{}
182,183,SPK1,珠泪下落情洒空床.,<BOS> zh u1 | l ei4 # x ia4 | l uo4 # q ing2 | s a3 # k ong1 | ch uang2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000182_000183.wav,{}
183,184,SPK1,羌管弄晴。菱歌泛夜。嬉嬉钓叟莲娃.,<BOS> q iang1 | g uan3 # n ong4 # q ing2 | l ing2 | g e1 # f an4 | y e4 | x i1 | x i1 # d iao4 | s ou3 | l ian2 | w a2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000183_000184.wav,{}
184,185,SPK1,杨洪全是田坝镇挖夯村村民.,<BOS> y ang2 | h ong2 | q uan2 # sh i4 # t ian2 | b a4 # zh en4 # w a1 # h ang1 | c un1 # c un1 | m in2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000184_000185.wav,{}
185,186,SPK1,在施工中无法用夯机碾轧.,<BOS> z ai4 # sh i1 | g ong1 # zh ong1 # w u2 | f a3 # y ong4 # h ang1 | j i1 # n ian3 | y a4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000185_000186.wav,{}
186,187,SPK1,碑帖法帖字帖画帖的帖与饕餮的餮都念餮.,<BOS> b ei1 | t ie4 # f a3 | t ie4 # z i4 | t ie4 # h ua4 | t ie4 # d e # t ie4 # y u3 # t ao1 | t ie4 # d e # t ie4 # d ou1 # n ian4 # t ie4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000186_000187.wav,{}
187,188,SPK1,没坐相意味着没教养。辱没祖宗.,<BOS> m ei2 # z uo4 # x iang4 # y i4 | w ei4 | zh e # m ei2 | j iao4 | y ang3 | r u3 | m o4 # z u3 | z ong1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000187_000188.wav,{}
188,189,SPK1,纹饰以细绳纹为主。还有交错绳纹弦纹戳刺纹等.,<BOS> w en2 | sh i4 # y i3 # x i4 | sh eng2 # w en2 # w ei2 | zh u3 | h ai2 | y ou3 # j iao1 | c uo4 # sh eng2 | w en2 # x ian2 # w en2 # ch uo1 # c i4 | w en2 # d eng3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000188_000189.wav,{}
189,190,SPK1,歹徒们抡着管子又打又刺。急于置人于死地.,<BOS> d ai3 | t u2 # m en # l un1 # zh e # g uan3 | z i # y ou4 # d a3 # y ou4 # c i4 | j i2 | y u2 # zh i4 # r en2 | y u2 # s i3 | d i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000189_000190.wav,{}
190,191,SPK1,大挂车驾驶员刘卫东右脚被死死卡住无法动弹.,<BOS> d a4 # g ua4 | ch e1 # j ia4 | sh i3 | y uan2 # l iu2 | w ei4 | d ong1 # y ou4 | j iao3 # b ei4 # s i3 | s i3 # k a3 | zh u4 # w u2 | f a3 # d ong4 | t an2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000190_000191.wav,{}
191,192,SPK1,温岭市蓝孔雀幼师颜艳红的虐童行为.,<BOS> w en1 | l ing3 | sh i4 # l an2 | k ong3 | q ue4 # y ou4 | sh i1 # y an2 # y an4 | h ong2 # d e # n ve4 | t ong2 # x ing2 | w ei2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000191_000192.wav,{}
192,193,SPK1,且有确切材料为证.,<BOS> q ie3 # y ou3 # q ue4 | q ie4 # c ai2 | l iao4 # w ei2 | zh eng4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000192_000193.wav,{}
193,194,SPK1,酒井法子吸毒案震惊演艺圈.,<BOS> j iu3 | j ing3 | f a3 | z i3 # x i1 | d u2 # an4 # zh en4 | j ing1 # y an3 | y i4 | q uan1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000193_000194.wav,{}
194,195,SPK1,欢迎各位朋友常来逛逛聊聊.,<BOS> h uan1 | y ing2 # g e4 | w ei4 | p eng2 | y ou3 # ch ang2 # l ai2 # g uang4 | g uang4 # l iao2 | l iao2 <EOS>,data/processed/biaobei/mfa_inputs/0/0000194_000195.wav,{}
195,196,SPK1,老王边啃烧饼边说.,<BOS> l ao3 | w ang2 # b ian1 # k en3 # sh ao1 | b ing3 # b ian1 # sh uo1 <EOS>,data/processed/biaobei/mfa_inputs/0/0000195_000196.wav,{}
196,197,SPK1,警方苦苦追踪魏某.,<BOS> j ing3 | f ang1 # k u3 | k u3 # zh ui1 | z ong1 # w ei4 | m ou3 <EOS>,data/processed/biaobei/mfa_inputs/0/0000196_000197.wav,{}
197,198,SPK1,林祖恋任乌坎村党总支书记.,<BOS> l in2 | z u3 | l ian4 | r en4 # w u1 | k an3 | c un1 # d ang3 | z ong3 | zh i1 # sh u1 | j i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000197_000198.wav,{}
198,199,SPK1,他蹑手蹑脚进了屋。溜进卧室.,<BOS> t a1 # n ie4 | sh ou3 | n ie4 | j iao3 # j in4 # l e # w u1 | l iu1 | j in4 # w o4 | sh i4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000198_000199.wav,{}
199,200,SPK1,此文经摘编。标题为编者制作.,<BOS> c i3 | w en2 # j ing1 # zh ai1 | b ian1 | b iao1 | t i2 # w ei2 # b ian1 | zh e3 # zh i4 | z uo4 <EOS>,data/processed/biaobei/mfa_inputs/0/0000199_000200.wav,{}
